Id,PostTypeId,OwnerUserId
"112488","1","75337"
"112489","1","68817"
"112490","2","75055"
"112491","2","53908"
"112492","2","54593"
"112494","1","68817"
"112495","2","68817"
"112496","2","3644"
"112497","2","50761"
"112498","1","74816"
"112499","2","17727"
"112500","2","74040"
"112501","1","75673"
"112502","2","74997"
"112504","1","75675"
"112505","1","75676"
"112507","2","75663"
"112508","2","12670"
"112511","1","41345"
"112512","2","54593"
"112514","2","72423"
"112516","2","55834"
"112517","1","69855"
"112518","2","62216"
"112519","1","75684"
"112520","2","69855"
"112521","1","75033"
"112522","1","68817"
"112523","1","75341"
"25658","2","3505"
"25659","2","14440"
"25660","1","14455"
"25661","2","6422"
"25662","2","3505"
"25663","2","11292"
"25664","1","14458"
"25665","2","14460"
"25666","1","14461"
"25667","2","7328"
"25668","2","14462"
"25669","2","14463"
"25670","2","14444"
"25671","1",""
"25672","1","14217"
"25673","2","7804"
"25674","1","11622"
"25675","2","2158"
"25676","2","13549"
"25677","2","14465"
"25678","2","1101"
"25679","2","10165"
"25680","2","14203"
"25681","2","13897"
"25682","2","9894"
"25683","2","6592"
"25684","2","545"
"25685","1","14468"
"25686","1","12375"
"25687","2","7679"
"25689","2","7804"
"25690","2","2994"
"25691","2","5224"
"25692","1","8293"
"25693","2","7911"
"25694","2","11686"
"25695","1","14252"
"25696","2","4947"
"25697","2","7191"
"25698","1","11236"
"25699","1","13897"
"25700","1","14472"
"25701","2","9366"
"25702","2","7328"
"25703","2","14473"
"25704","1","14475"
"25705","1","13154"
"25706","2","142"
"25708","1","14480"
"25709","2","14481"
"25710","2","8328"
"25712","2","5685"
"25713","1","14438"
"25714","2","7328"
"25715","1","13550"
"25716","1","14486"
"25717","1","14405"
"25718","2","12993"
"25719","1","312"
"25721","2","7697"
"25722","2","7697"
"25723","2","4088"
"25724","2","142"
"25725","1","14490"
"25726","2","8328"
"25728","1","11266"
"25729","1","11686"
"25730","1","2188"
"25731","2","142"
"25732","1","5007"
"25733","1","11817"
"25734","2","14496"
"25735","2","4546"
"25736","2","5824"
"25737","2","12875"
"25738","2","12813"
"25740","2","12228"
"25741","1","13915"
"25742","2","14499"
"25744","2","8240"
"25745","2","7697"
"25746","2",""
"25747","1",""
"25748","2","12228"
"25749","1","14502"
"25750","2","93"
"25751","2","7804"
"25752","1","14405"
"25753","2","9134"
"25754","2","3505"
"25755","1","13897"
"25756","2","1424"
"25757","2","5685"
"139090","2","97720"
"139091","1","99092"
"139098","1","95842"
"139099","2","39518"
"139100","2","48612"
"139101","2","30896"
"139102","2","4227"
"139103","2","48612"
"139104","2","48612"
"139105","2","46420"
"139106","1","94786"
"139107","2","67769"
"139108","2","21890"
"139109","1","99251"
"139111","2","21890"
"139112","1","2494"
"139116","1","92665"
"139117","1","59854"
"139118","2","1430"
"139119","2","4546"
"139120","2","98983"
"139121","1","98700"
"139122","2","39518"
"139124","1","93935"
"139126","2","99266"
"139127","1","95551"
"139128","1","98979"
"139129","1","93525"
"139130","2","79032"
"139132","1","88072"
"139133","2","99271"
"139135","2","95551"
"139136","1","78895"
"139137","2","21890"
"139138","1","99274"
"139141","2","39518"
"139143","2","99278"
"139144","1",""
"139145","2",""
"139146","1","99286"
"139149","2","93935"
"139150","2","26592"
"139151","2","35344"
"139152","2","21890"
"139153","2","43702"
"139155","2","32481"
"139156","1","41757"
"139157","1",""
"139158","2","99293"
"139159","1","97926"
"139160","2","81948"
"139161","2","98346"
"139162","1","92990"
"139163","1","99298"
"139164","2","62793"
"139166","2","31963"
"139167","1","99274"
"139168","1","43702"
"139170","1","99105"
"139171","2","63208"
"139172","2","96576"
"139173","1","99306"
"139174","1","65874"
"139175","1","93525"
"139176","1","91910"
"139177","2","65874"
"139178","1","73960"
"139179","2","32649"
"139180","2","29713"
"139181","2","10408"
"139183","2","63208"
"139185","2","30896"
"139186","2","34057"
"139187","2","98346"
"139188","1","89753"
"139189","2","99315"
"139190","1","99316"
"139191","1","97972"
"139192","1","90716"
"139193","1","99318"
"139194","2","50555"
"139195","2","46420"
"139196","2","39518"
"112725","2","9033"
"112726","2","21890"
"112727","1","75877"
"112728","2","54967"
"112731","1","43475"
"112732","1","65986"
"112735","2","75889"
"112736","1","63507"
"112737","2","33694"
"112742","2","39518"
"112744","1","57666"
"112745","2","26037"
"112746","1","54060"
"112747","1","67546"
"112748","2","72219"
"112749","2","75829"
"112751","1","75901"
"112752","1","59284"
"112753","2","21890"
"112754","1","75903"
"112755","2",""
"112756","1","74892"
"112757","2","26037"
"51174","2","26929"
"51175","2","27387"
"51177","1","17644"
"51178","2","19017"
"51180","1","27496"
"51181","2","6122"
"51182","2","23053"
"51183","1","19429"
"51185","2","13556"
"51186","1","24626"
"51187","2","13964"
"51193","2","22153"
"51194","1","20429"
"51195","1","13381"
"51196","2","27379"
"51197","1","26687"
"51199","1","13127"
"51200","1","27507"
"51201","2","27508"
"51202","1","26746"
"51203","2","5224"
"51204","2","12274"
"51205","1","27327"
"51206","1","15212"
"51207","2","5224"
"51209","1","25533"
"51210","1","20686"
"51211","1","23549"
"51212","2","27518"
"51213","1","18505"
"51214","2","27379"
"51215","2","288"
"51216","2","9134"
"51217","2","27521"
"51218","2","26746"
"51219","2","5473"
"51220","2","6776"
"51222","1","27526"
"51223","1","25103"
"51227","2","12274"
"51228","1","11863"
"51229","1","26409"
"51230","2","18547"
"51231","1","27140"
"51232","1","27532"
"51234","1","14782"
"51237","2","27534"
"51239","2","26929"
"51241","1","17541"
"51245","2","26250"
"51246","1","9919"
"51247","2","19233"
"51248","2","3934"
"51249","2","3934"
"51250","2","5660"
"51251","1","11041"
"51252","1","27405"
"25758","2","4088"
"25759","1","14504"
"25760","2","5343"
"25761","2","3505"
"25762","1","12281"
"25763","2","9894"
"25764","2","13964"
"25765","2","14509"
"25766","2","1562"
"25767","1","14510"
"25768","2","1101"
"25769","2","13964"
"25771","1","5007"
"25773","1","14518"
"25774","2","13964"
"25775","2","5125"
"25776","2","9134"
"25777","2","14451"
"25778","2","7804"
"25779","2","8328"
"25780","2","8328"
"25781","2","13897"
"25782","1","8507"
"25783","2","8328"
"25784","2","2698"
"25785","2","8328"
"25786","1","11540"
"25787","2","8119"
"25788","2",""
"25789","1","9497"
"25791","2","5007"
"25792","2","8328"
"25796","2","2158"
"25797","1","14342"
"25798","2","4781"
"25799","1","9142"
"25800","2","4835"
"25801","2","7328"
"25802","2","14338"
"25803","2","14527"
"25806","1","14528"
"25807","2","6422"
"25808","2","1494"
"25809","1","14534"
"139198","2","60302"
"139200","1","11628"
"139201","2","96564"
"139202","1","90509"
"139204","2","86685"
"139205","1","96435"
"139207","2","22713"
"139208","1","93747"
"139209","1","90326"
"139214","2","55381"
"139218","1","73960"
"139219","2","65776"
"139220","1","97349"
"139222","2","79"
"139223","1","83745"
"139225","2","99348"
"139226","2","99348"
"139227","2","99348"
"139229","5","-1"
"139230","4","-1"
"139231","1","92665"
"139232","2","21890"
"139233","2","22713"
"139237","1","53973"
"139238","2","96435"
"139239","1","99354"
"139240","2","99329"
"139242","2","65776"
"139245","2","99133"
"139246","2","44713"
"139247","1","99367"
"139248","1","30634"
"139249","2","67769"
"139251","2","99335"
"139253","2","99367"
"139256","1","75389"
"139258","2","98906"
"139259","1","19572"
"139260","1","43474"
"139262","1","99374"
"139264","2","21890"
"139268","1","86003"
"139269","1","98744"
"139270","1","90716"
"139271","2","39518"
"139272","2","98906"
"139273","2","78220"
"51055","1","23944"
"51056","2","26734"
"51057","2","14467"
"51059","2","26418"
"51060","1","10304"
"51062","2","26734"
"51063","1","27421"
"51064","2","19184"
"51066","1","111"
"51068","2","7191"
"51069","1","26796"
"51070","1","27425"
"51071","2","7191"
"51072","2","27409"
"51073","2","27426"
"51075","2","27379"
"51076","1","23944"
"51077","2","24458"
"51078","2","27379"
"51081","1","15816"
"51082","2","12993"
"51083","2","7728"
"51085","2","15816"
"51086","2","26250"
"51087","2","20"
"51088","1","24348"
"51090","2","16832"
"51091","2","10728"
"51092","1","15183"
"51095","2","252"
"51097","2","7328"
"51099","1","27450"
"51101","2","22260"
"51102","1","4434"
"51103","1","26421"
"51104","2","27451"
"51105","2","18568"
"51106","2","12715"
"51107","1","23379"
"51108","2","9575"
"51109","2","26969"
"51110","1","16420"
"51111","2","26969"
"51112","2","6588"
"51114","2","27457"
"51115","2","5864"
"51116","2","998"
"51117","2","9611"
"112548","2","53908"
"112549","2","62256"
"112550","1","75621"
"112551","2","10728"
"112552","1","26147"
"112553","2","39518"
"112554","1","54560"
"112556","2","74040"
"112557","2","54823"
"112558","1","54591"
"112560","1","75709"
"112561","2","7697"
"112562","1","75713"
"112563","2","75716"
"112565","1","69395"
"112566","1","75715"
"112567","1","75717"
"112568","2","7697"
"112569","2","69782"
"112570","2","75715"
"112571","1","41345"
"112572","2","39518"
"112573","2","41345"
"112574","2","7543"
"112575","1","62358"
"112576","2","75055"
"112577","1","70732"
"112580","2","39224"
"112581","1","75648"
"112582","1","75145"
"112583","2","23432"
"112585","2","26037"
"112586","2","2497"
"112587","1","49514"
"112588","2","49010"
"112589","2","75055"
"112590","1","75788"
"112591","2","19427"
"112592","1","70040"
"112594","2","62256"
"112595","2","20"
"112596","2","10728"
"112598","2","70732"
"112599","1","15625"
"112601","2","75714"
"112603","1","75621"
"112604","2","74040"
"112607","1","75727"
"470","2","202"
"471","2","117"
"472","1","10"
"473","2","67"
"475","2","267"
"476","1","193"
"477","2","299"
"478","2","168"
"479","2","35"
"480","1","165"
"481","2","165"
"482","1","8"
"483","2","297"
"486","2","292"
"488","2","154"
"489","1","55"
"490","2","10"
"493","2","55"
"494","2","154"
"495","1","310"
"496","1","310"
"497","1","310"
"498","2","301"
"499","2","51"
"500","2","55"
"501","2","214"
"502","2","300"
"503","2","117"
"504","1","29"
"506","2","127"
"507","2","119"
"508","1","297"
"509","2","181"
"510","1","29"
"511","2","127"
"514","2","181"
"517","2","154"
"519","2","182"
"520","2","154"
"521","2","154"
"522","2","318"
"523","2","159"
"524","2","154"
"525","2","19"
"527","2","303"
"528","2","19"
"529","2",""
"530","2","51"
"531","1","22"
"532","2","127"
"533","2","19"
"534","2","97"
"535","2","301"
"536","1","294"
"537","2","10"
"538","2","138"
"539","2","19"
"540","2","138"
"541","2","140"
"542","2","159"
"543","2","208"
"544","2","140"
"545","2","208"
"546","1","244"
"548","1","164"
"549","2","101"
"550","2","209"
"551","2","288"
"112608","1","75738"
"112612","1","40025"
"112613","2","2497"
"112614","2","75627"
"207","2","119"
"208","2","163"
"209","2","9"
"210","2","120"
"211","2","55"
"212","2","160"
"213","1","157"
"214","2","160"
"215","2","101"
"216","2","35"
"217","1","51"
"218","2","168"
"219","2","119"
"221","1","106"
"222","1","170"
"223","2",""
"224","2","14"
"225","1","159"
"226","2","120"
"227","2","162"
"228","2","160"
"230","2","109"
"231","2","119"
"232","2","19"
"233","2","97"
"234","2","18"
"235","2","35"
"236","1","170"
"237","2","120"
"238","2","136"
"239","2","160"
"240","2","178"
"241","2","109"
"242","2","119"
"243","2","10"
"244","1","55"
"245","1","165"
"246","2","165"
"248","2","178"
"249","1","158"
"250","2","162"
"251","2","19"
"252","2","19"
"253","2","18"
"254","2","19"
"255","2","160"
"256","2","101"
"257","2","19"
"258","2","19"
"259","2","19"
"260","2","51"
"261","2","162"
"262","2","119"
"263","1","170"
"264","2","158"
"265","2","30"
"266","2","165"
"267","2","10"
"268","1","160"
"269","2","189"
"270","2","189"
"271","2","30"
"272","2","120"
"273","2","162"
"274","2","30"
"275","2","136"
"276","1","19"
"277","2","73"
"278","2","51"
"279","2","19"
"280","1","165"
"281","2","165"
"282","1","51"
"25811","2","8328"
"25812","1","14538"
"25813","2","13897"
"25814","1","14349"
"25815","2","9134"
"25816","2","2188"
"25817","2","7328"
"25818","1","14540"
"25819","2","13897"
"25820","2","14541"
"25821","2","1923"
"25822","2","10055"
"25823","1","10055"
"25824","2","4687"
"25825","2","1430"
"25826","2","1494"
"25827","1","14544"
"25828","1","14545"
"25829","1","14520"
"25830","2","4569"
"25831","1","14546"
"25832","2","10165"
"25833","2","4496"
"25834","2","51"
"25835","2",""
"25837","2","12363"
"25838","1","12233"
"25839","1","14544"
"25840","2","13964"
"25841","2","9813"
"25842","2","3327"
"25844","2","13964"
"25845","2","14550"
"25846","2","2624"
"25847","1","11369"
"25848","2","5224"
"25849","1","14552"
"25850","2",""
"25851","1","14556"
"25852","1","5399"
"25853","2","9894"
"25854","1","8363"
"25855","2","11686"
"25856","2","8240"
"25857","2","11686"
"25858","2","14520"
"25859","2","14444"
"25862","1","12281"
"25865","1","9142"
"25866","2",""
"25868","2","4835"
"51118","2","26600"
"51119","2","27459"
"51120","1","27423"
"51122","1","27460"
"51123","2",""
"51124","2","26929"
"51125","2","998"
"51132","1","27464"
"51133","2","27379"
"51134","1","5245"
"51136","2","16700"
"51139","2","17516"
"51140","1","27037"
"51141","1","13127"
"51142","2","8240"
"51143","2","15070"
"51144","2","23053"
"51146","2","13556"
"51148","1","25336"
"51150","1","19795"
"51151","2","13551"
"51154","1","27037"
"51155","1","13127"
"51157","2","3505"
"51158","2","27476"
"51159","1","27480"
"51160","1","27481"
"51161","1","27478"
"51163","2","26929"
"51164","2","26929"
"51165","2","23053"
"51166","1","15703"
"51167","1","27483"
"51168","2","23053"
"51169","1","27482"
"51172","2","27379"
"51173","1","27364"
"139274","1","78220"
"139275","2","99354"
"139276","1","1929"
"139277","2","98983"
"139280","1","31121"
"139282","2","21890"
"139283","2","99395"
"139285","1","36451"
"139286","2","39518"
"139287","2","26250"
"139288","1","99399"
"139291","2","99233"
"139292","2","11210"
"139293","1","99233"
"139294","2","67769"
"139295","1","63208"
"139297","2","99409"
"139298","1","96354"
"139299","2","92160"
"139300","2","65776"
"139302","2","67769"
"139304","1","80499"
"139305","2","9134"
"139306","2","21890"
"139307","1","57255"
"139308","2","21890"
"139309","2","99321"
"139310","2","99321"
"139313","2","99321"
"139314","2","99321"
"139315","2","11204"
"139318","2","99425"
"139319","1","99426"
"139320","1","99427"
"139321","2","99321"
"139322","2","6588"
"139323","1","100510"
"139324","2","67769"
"139326","1","70680"
"139328","1","76043"
"139331","1","72826"
"139332","2","99233"
"139338","1","97961"
"139339","2","99445"
"139343","1","98651"
"139344","2","35344"
"139346","1","99450"
"139349","2","21890"
"112850","2","23432"
"112852","1","75983"
"139459","2","43702"
"139460","1","99555"
"139461","2","30326"
"139464","2","68989"
"139465","1","68989"
"139466","2","21890"
"139467","2","65776"
"139469","1","94091"
"139470","2","81948"
"139471","1","89465"
"139472","2","1430"
"139473","1","14941"
"139474","2","39518"
"139475","1","99485"
"139478","2","62793"
"139479","1","97945"
"139480","2","86085"
"139481","1",""
"139482","2","25563"
"139483","2","39518"
"139485","1","89465"
"139486","2","34057"
"139487","2","65776"
"139489","2","65776"
"139491","1","99567"
"139492","2","99013"
"139493","1","13942"
"139496","2","65776"
"139497","1","89465"
"139499","1","92990"
"139500","2","63208"
"139501","1","99233"
"139502","1","97961"
"139503","2","40264"
"139504","2","26250"
"139505","1","18594"
"139507","2","97181"
"139511","1","96435"
"139512","1","86003"
"139514","2","35344"
"139515","1","68989"
"139351","2","99114"
"139354","1","99461"
"139355","2","95541"
"112615","1","75743"
"112616","2","1430"
"112617","1","41654"
"112618","2","49583"
"112619","2","75627"
"112620","2","15625"
"112622","2","54967"
"112623","2","62216"
"112625","1","75762"
"112626","1","75038"
"112627","1","75145"
"112628","2","75627"
"112629","2","75768"
"112630","1","75038"
"112633","1","17865"
"112634","2","75768"
"112635","2","12670"
"112636","2","49583"
"112637","2","74212"
"112638","2","73708"
"112639","2","74212"
"112640","1","36641"
"112644","1","64272"
"112645","2","54823"
"112646","2","54823"
"112648","2","49010"
"112649","1","75789"
"112650","2","74900"
"112653","1","18648"
"112654","2","72964"
"112655","1","75796"
"112659","2","74040"
"112660","2","43736"
"112661","2","75627"
"112662","1","60544"
"112663","2","74900"
"112664","2","288"
"112665","2","54967"
"112666","2","75627"
"112668","2","22917"
"112669","1","75621"
"112670","2","71994"
"112673","1","68464"
"112674","2","75788"
"112676","1","50638"
"283","2","136"
"284","2","19"
"285","2","174"
"286","2","188"
"287","2","19"
"288","1","120"
"289","2","188"
"290","2","188"
"291","2","9"
"292","1","18"
"293","2","169"
"295","2","10"
"296","2","83"
"297","1","37"
"298","2","73"
"299","2","19"
"301","2","208"
"302","1","58"
"304","2","19"
"305","2","208"
"306","2","140"
"307","2","51"
"308","2","205"
"309","2","122"
"310","2","165"
"311","2","120"
"312","2","120"
"313","1","204"
"314","2","140"
"315","2","19"
"316","2","51"
"317","2","18"
"318","1","214"
"319","2","18"
"320","2","10"
"321","2","188"
"322","1","214"
"323","2","120"
"324","2","10"
"325","1","195"
"326","2","10"
"327","1","214"
"328","2","19"
"329","2","97"
"330","2","10"
"331","2","154"
"332","2","217"
"333","2","154"
"334","1","195"
"335","1","195"
"336","1","222"
"337","2","160"
"338","2","10"
"339","1","226"
"340","2","225"
"341","2","10"
"342","2","211"
"343","2","204"
"344","2","165"
"345","2","73"
"346","2","160"
"347","2","51"
"348","2","140"
"349","2","51"
"351","1","231"
"355","1","100"
"356","2","231"
"357","2",""
"358","2","136"
"359","2",""
"360","1","208"
"361","2","240"
"362","2","211"
"363","2","240"
"364","2","240"
"365","2","211"
"366","1","13"
"367","2","214"
"369","2","88"
"370","2","245"
"371","1","250"
"372","1","199"
"373","2","160"
"374","1","254"
"375","2","255"
"376","2","231"
"377","2","256"
"378","2","252"
"379","2","255"
"380","2","231"
"381","1","252"
"382","2","252"
"383","2","255"
"384","2","20"
"385","2","20"
"386","2","258"
"387","1","7"
"388","2","211"
"389","2","7"
"390","2","259"
"391","2","97"
"392","2","251"
"393","2","260"
"394","1","102"
"395","2","259"
"396","2","119"
"397","2","162"
"398","2","162"
"399","2","259"
"400","2","119"
"401","2","120"
"402","2","266"
"403","2","267"
"404","2","202"
"405","2","119"
"406","2","266"
"407","2","267"
"408","2","266"
"409","1","72"
"410","2","266"
"411","2","18"
"412","1","269"
"413","2","10"
"414","1","259"
"415","2","252"
"416","2","252"
"418","1","279"
"420","2","249"
"421","1","10"
"423","2","259"
"424","2","229"
"425","2","18"
"426","1","117"
"80683","1","48391"
"80684","2","49437"
"80685","2","32566"
"80687","2","45508"
"80691","2","45234"
"80692","1","46525"
"80694","2","1430"
"80696","1","3770"
"80697","1","49648"
"80698","1","34549"
"80699","2","49650"
"80700","1","8825"
"80701","2","35998"
"80702","2","14520"
"80704","2","49132"
"80705","1","48156"
"80706","2","49650"
"80709","1","39611"
"80712","2","33000"
"80713","2","48893"
"80715","1","49620"
"80716","1","49658"
"80717","2","46383"
"80718","2","49338"
"80719","2","16879"
"80720","2","29746"
"80722","2","44227"
"80725","2","5296"
"80726","2","16201"
"80728","1","49581"
"80731","2","48694"
"80735","2","49514"
"80737","2","49650"
"80738","2","36378"
"80739","1","49670"
